model	fold	test_fold_size	TP	TN	FP	FN	Accuracy
Random Forest	1	115	8	57	3	47	0.565217391303856
Random Forest	2	260	0	28	0	232	0.107692307692266
Random Forest	3	94	0	59	0	35	0.627659574467417
Random Forest	4	123	0	103	20	0	0.837398373983059
Random Forest	5	527	247	76	9	195	0.612903225806335
Random Forest	6	50	0	50	0	0	0.999999999998
Random Forest	7	37	2	27	0	8	0.783783783781665
Random Forest	8	44	2	31	0	11	0.749999999998295
K-Nearest Neighbors	1	115	5	56	4	50	0.530434782608234
K-Nearest Neighbors	2	260	53	21	7	179	0.284615384615275
K-Nearest Neighbors	3	94	25	45	14	10	0.744680851063038
K-Nearest Neighbors	4	123	0	71	52	0	0.577235772357254
K-Nearest Neighbors	5	527	14	79	6	428	0.176470588235261
K-Nearest Neighbors	6	50	0	48	2	0	0.95999999999808
K-Nearest Neighbors	7	37	5	10	17	5	0.40540540540431
K-Nearest Neighbors	8	44	7	26	5	6	0.749999999998295
SVM (RBF)	1	115	34	31	29	21	0.565217391303856
SVM (RBF)	2	260	100	12	16	132	0.430769230769065
SVM (RBF)	3	94	27	39	20	8	0.702127659573721
SVM (RBF)	4	123	0	35	88	0	0.284552845528224
SVM (RBF)	5	527	347	44	41	95	0.741935483870827
SVM (RBF)	6	50	0	21	29	0	0.41999999999916
SVM (RBF)	7	37	10	14	13	0	0.648648648646896
SVM (RBF)	8	44	9	20	11	4	0.659090909089411
SVM (Linear)	1	115	33	31	29	22	0.556521739129951
SVM (Linear)	2	260	118	15	13	114	0.511538461538265
SVM (Linear)	3	94	26	36	23	9	0.659574468084405
SVM (Linear)	4	123	0	45	78	0	0.365853658536288
SVM (Linear)	5	527	343	43	42	99	0.732447817836673
SVM (Linear)	6	50	0	23	27	0	0.45999999999908
SVM (Linear)	7	37	10	15	12	0	0.675675675673849
SVM (Linear)	8	44	9	17	14	4	0.590909090907748
XGBoost	1	115	22	43	17	33	0.565217391303856
XGBoost	2	260	0	28	0	232	0.107692307692266
XGBoost	3	94	3	57	2	32	0.638297872339746
XGBoost	4	123	0	119	4	0	0.967479674795961
XGBoost	5	527	272	73	12	170	0.654648956356612
XGBoost	6	50	0	50	0	0	0.999999999998
XGBoost	7	37	2	26	1	8	0.756756756754711
XGBoost	8	44	3	30	1	10	0.749999999998295
Elastic Net	1	115	33	33	27	22	0.573913043477762
Elastic Net	2	260	230	1	27	2	0.888461538461197
Elastic Net	3	94	23	33	26	12	0.59574468085043
Elastic Net	4	123	0	53	70	0	0.430894308942739
Elastic Net	5	527	323	50	35	119	0.707779886147873
Elastic Net	6	50	0	26	24	0	0.51999999999896
Elastic Net	7	37	10	16	11	0	0.702702702700803
Elastic Net	8	44	9	18	13	4	0.613636363634969
Logistic Regression-L1	1	115	33	34	26	22	0.582608695651667
Logistic Regression-L1	2	260	230	1	27	2	0.888461538461197
Logistic Regression-L1	3	94	23	33	26	12	0.59574468085043
Logistic Regression-L1	4	123	0	51	72	0	0.414634146341126
Logistic Regression-L1	5	527	323	48	37	119	0.703984819734212
Logistic Regression-L1	6	50	0	26	24	0	0.51999999999896
Logistic Regression-L1	7	37	10	15	12	0	0.675675675673849
Logistic Regression-L1	8	44	9	18	13	4	0.613636363634969
Logistic Regression-L2	1	115	36	31	29	19	0.582608695651667
Logistic Regression-L2	2	260	232	0	28	0	0.892307692307349
Logistic Regression-L2	3	94	27	24	35	8	0.542553191488785
Logistic Regression-L2	4	123	0	92	31	0	0.747967479674189
Logistic Regression-L2	5	527	386	44	41	56	0.815939278937226
Logistic Regression-L2	6	50	0	44	6	0	0.87999999999824
Logistic Regression-L2	7	37	10	13	14	0	0.621621621619942
Logistic Regression-L2	8	44	10	14	17	3	0.545454545453306
